molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL5809690,C=CC(=O)N1CC[C@H](C(=O)N(C)[C@H](C(=O)N[C@H]2Cc3cccc(c3)-c3ccc4c(c3)c(c(-c3cccnc3[C@@H]3CCCO3)n4CC)CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C2=O)C(C)C)C1,inactive,900.1339999999993,6.407600000000008,2.0,10.0,5.0
CHEMBL6056787,C=CC(=O)N1CC[C@H](C(=O)N(C)[C@H](C(=O)N[C@H]2Cc3cccc(c3)-c3ccc4c(c3)c(c(-c3cc(C5=CCN(C)CC5)cnc3[C@H](C)OC)n4CC)CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C2=O)C(C)C)C1,intermediate,983.2679999999992,6.982400000000009,2.0,11.0,5.259637310505756
CHEMBL5968185,C=CC(=O)N1CC[C@H](C(=O)N(C)[C@H](C(=O)N[C@H]2Cc3cccc(c3)-c3ccc4c(c3)c(c(-c3cc(C5=CCN(C)CC5)cnc3C(C)OC)n4CC)CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C2=O)C(C)C)C1,inactive,983.2679999999992,6.982400000000009,2.0,11.0,5.0
CHEMBL5810300,C=CC(=O)N1CC[C@H](C(=O)N(C)[C@H](C(=O)N[C@H]2Cc3cccc(c3)-c3ccc4c(c3)c(c(-c3cc(C5CCN(C)CC5)cnc3[C@H](C)OC)n4CC)CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C2=O)C(C)C)C1,intermediate,985.2839999999992,7.072700000000009,2.0,11.0,5.259637310505756
CHEMBL5870169,C=CC(=O)N1CC(F)(C(=O)N(C)[C@H](C(=O)N[C@H]2Cc3cccc(c3)-c3ccc4c(c3)c(c(-c3cccnc3[C@H](C)OC)n4CC)CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C2=O)C(C)C)C1,intermediate,892.0859999999994,5.965500000000006,2.0,10.0,5.259637310505756
CHEMBL5886693,C=CC(=O)N1CCC(F)(C(=O)N(C)[C@H](C(=O)N[C@H]2Cc3cccc(c3)-c3ccc4c(c3)c(c(-c3cccnc3[C@H](C)OC)n4CC)CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C2=O)C(C)C)CC1,intermediate,920.1399999999994,6.745700000000007,2.0,10.0,5.259637310505756
CHEMBL5991263,C=CC(=O)N1CC[C@H](C(=O)N(C)[C@H](C(=O)N[C@H]2Cc3nc(cs3)-c3ccc4c(c3)c(c(-c3cc(C5=CCN(C)CC5)cnc3[C@H](C)OC)n4CC)CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C2=O)C(C)C)C1,intermediate,990.2849999999992,6.438900000000008,2.0,13.0,5.259637310505756
CHEMBL6043004,C=CC(=O)N1CC[C@H](C(=O)N(C)[C@H](C(=O)N[C@H]2Cc3cccc(c3)-c3ccc4c(c3)c(c(-c3cc(CN(C)C)cnc3[C@H](C)OC)n4CC)CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C2=O)C(C)C)C1,inactive,945.2189999999994,6.325100000000009,2.0,11.0,5.0
CHEMBL5959999,C=CC(=O)N1CCC(C(=O)N(C)[C@H](C(=O)N[C@H]2Cc3cccc(c3)-c3ccc4c(c3)c(c(-c3cc(CN(C)C)cnc3[C@H](C)OC)n4CC)CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C2=O)C(C)C)C1,inactive,945.2189999999994,6.325100000000009,2.0,11.0,5.0
CHEMBL5854331,C=CC(=O)Nc1cnc(C(=O)N(C)[C@H](C(=O)N[C@H]2Cc3cccc(c3)-c3ccc4c(c3)c(c(-c3cccnc3[C@H](C)OC)n4CC)CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C2=O)C(C)C)n1C,inactive,914.1209999999994,6.4008000000000065,3.0,12.0,5.0
